"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99981,1.5e-05,0,3.3053e-20,0,0,8.5708e-23,8.5708e-23,1,83,1,0.55667,0.0005,0.55667,0.0005
0.99981,1.5e-05,0,3.3035e-20,0,0,8.647e-23,8.647e-23,1,84,1,0.56333,0.0005,0.56333,0.0005
0.99982,1.5e-05,0,3.3018e-20,0,0,8.7309e-23,8.7309e-23,1,85,1,0.57,0.0005,0.57,0.0005
0.99982,1.5e-05,0,3.3001e-20,0,0,8.8225e-23,8.8225e-23,1,86,1,0.57667,0.0005,0.57667,0.0005
0.99982,1.5e-05,0,3.2984e-20,0,0,8.9217e-23,8.9217e-23,1,87,1,0.58333,0.0005,0.58333,0.0005
0.99983,1.5e-05,0,3.2968e-20,0,0,9.0282e-23,9.0282e-23,1,88,1,0.59,0.0005,0.59,0.0005
0.99983,1.5e-05,0,3.2952e-20,0,0,9.1418e-23,9.1418e-23,1,89,1,0.59667,0.0005,0.59667,0.0005
0.99983,1.5e-05,0,3.2936e-20,0,0,9.2625e-23,9.2625e-23,1,90,1,0.60333,0.0005,0.60333,0.0005
0.99983,1.5e-05,0,3.2921e-20,0,0,9.3899e-23,9.3899e-23,1,91,1,0.61,0.0005,0.61,0.0005
0.99984,1.5e-05,0,3.2907e-20,0,0,9.5238e-23,9.5238e-23,1,92,1,0.61667,0.0005,0.61667,0.0005
0.99984,1.5e-05,0,3.2893e-20,0,0,9.6641e-23,9.6641e-23,1,93,1,0.62333,0.0005,0.62333,0.0005
0.99984,1.5e-05,0,3.2879e-20,0,0,9.8105e-23,9.8105e-23,1,94,1,0.63,0.0005,0.63,0.0005
0.99985,1.5e-05,0,3.2866e-20,0,0,9.9627e-23,9.9627e-23,1,95,1,0.63667,0.0005,0.63667,0.0005
0.99985,1.5e-05,0,3.2854e-20,0,0,1.0121e-22,1.0121e-22,1,96,1,0.64333,0.0005,0.64333,0.0005
0.99985,1.5e-05,0,3.2843e-20,0,0,1.0284e-22,1.0284e-22,1,97,1,0.65,0.0005,0.65,0.0005
0.99985,1.5e-05,0,3.2832e-20,0,0,1.0452e-22,1.0452e-22,1,98,1,0.65667,0.0005,0.65667,0.0005
0.99986,1.5e-05,0,3.2821e-20,0,0,1.0624e-22,1.0624e-22,1,99,1,0.66333,0.0005,0.66333,0.0005
0.99986,1.5e-05,0,3.2812e-20,0,0,1.0802e-22,1.0802e-22,1,100,1,0.67,0.0005,0.67,0.0005
0.99986,1.5e-05,0,3.2803e-20,0,0,1.0983e-22,1.0983e-22,1,101,1,0.67667,0.0005,0.67667,0.0005
0.99986,1.5e-05,0,3.2795e-20,0,0,1.1168e-22,1.1168e-22,1,102,1,0.68333,0.0005,0.68333,0.0005
0.99987,1.5e-05,0,3.2787e-20,0,0,1.1357e-22,1.1357e-22,1,103,1,0.69,0.0005,0.69,0.0005
0.99987,1.5e-05,0,3.2781e-20,0,0,1.1548e-22,1.1548e-22,1,104,1,0.69667,0.0005,0.69667,0.0005
0.99987,1.5e-05,0,3.2775e-20,0,0,1.1743e-22,1.1743e-22,1,105,1,0.70333,0.0005,0.70333,0.0005
0.99988,1.5e-05,0,3.277e-20,0,0,1.194e-22,1.194e-22,1,106,1,0.71,0.0005,0.71,0.0005
0.99988,1.5e-05,0,3.2765e-20,0,0,1.2139e-22,1.2139e-22,1,107,1,0.71667,0.0005,0.71667,0.0005
0.99988,1.5e-05,0,3.2762e-20,0,0,1.234e-22,1.234e-22,1,108,1,0.72333,0.0005,0.72333,0.0005
0.99988,1.5e-05,0,3.2759e-20,0,0,1.2542e-22,1.2542e-22,1,109,1,0.73,0.0005,0.73,0.0005
0.99989,1.5e-05,0,3.2757e-20,0,0,1.2745e-22,1.2745e-22,1,110,1,0.73667,0.0005,0.73667,0.0005
0.99989,1.5e-05,0,3.2756e-20,0,0,1.2949e-22,1.2949e-22,1,111,1,0.74333,0.0005,0.74333,0.0005
0.99989,1.5e-05,0,3.2755e-20,0,0,1.3154e-22,1.3154e-22,1,112,1,0.75,0.0005,0.75,0.0005
0.9999,1.5e-05,0,3.2756e-20,0,0,1.3358e-22,1.3358e-22,1,113,1,0.75667,0.0005,0.75667,0.0005
0.9999,1.5e-05,0,3.2757e-20,0,0,1.3562e-22,1.3562e-22,1,114,1,0.76333,0.0005,0.76333,0.0005
0.9999,1.5e-05,0,3.2759e-20,0,0,1.3765e-22,1.3765e-22,1,115,1,0.77,0.0005,0.77,0.0005
0.9999,1.5e-05,0,3.2762e-20,0,0,1.3968e-22,1.3968e-22,1,116,1,0.77667,0.0005,0.77667,0.0005
0.99991,1.5e-05,0,3.2766e-20,0,0,1.4168e-22,1.4168e-22,1,117,1,0.78333,0.0005,0.78333,0.0005
0.99991,1.5e-05,0,3.277e-20,0,0,1.4367e-22,1.4367e-22,1,118,1,0.79,0.0005,0.79,0.0005
0.99991,1.5e-05,0,3.2775e-20,0,0,1.4564e-22,1.4564e-22,1,119,1,0.79667,0.0005,0.79667,0.0005
0.99992,1.5e-05,0,3.2781e-20,0,0,1.4758e-22,1.4758e-22,1,120,1,0.80333,0.0005,0.80333,0.0005
0.99992,1.5e-05,0,3.2788e-20,0,0,1.495e-22,1.495e-22,1,121,1,0.81,0.0005,0.81,0.0005
0.99992,1.5e-05,0,3.2796e-20,0,0,1.5138e-22,1.5138e-22,1,122,1,0.81667,0.0005,0.81667,0.0005
0.99993,1.5e-05,0,3.2804e-20,0,0,1.5323e-22,1.5323e-22,1,123,1,0.82333,0.0005,0.82333,0.0005
0.99993,1.5e-05,0,3.2813e-20,0,0,1.5503e-22,1.5503e-22,1,124,1,0.83,0.0005,0.83,0.0005
0.99993,1.5e-05,0,3.2822e-20,0,0,1.568e-22,1.568e-22,1,125,1,0.83667,0.0005,0.83667,0.0005
0.99993,1.5e-05,0,3.2833e-20,0,0,1.5853e-22,1.5853e-22,1,126,1,0.84333,0.0005,0.84333,0.0005
0.99994,1.5e-05,0,3.2844e-20,0,0,1.602e-22,1.602e-22,1,127,1,0.85,0.0005,0.85,0.0005
0.99994,1.5e-05,0,3.2855e-20,0,0,1.6183e-22,1.6183e-22,1,128,1,0.85667,0.0005,0.85667,0.0005
0.99994,1.5e-05,0,3.2868e-20,0,0,1.634e-22,1.634e-22,1,129,1,0.86333,0.0005,0.86333,0.0005
0.99994,1.5e-05,0,3.2881e-20,0,0,1.6492e-22,1.6492e-22,1,130,1,0.87,0.0005,0.87,0.0005
0.99995,1.5e-05,0,3.2894e-20,0,0,1.6637e-22,1.6637e-22,1,131,1,0.87667,0.0005,0.87667,0.0005
0.99995,1.5e-05,0,3.2908e-20,0,0,1.6777e-22,1.6777e-22,1,132,1,0.88333,0.0005,0.88333,0.0005
0.99995,1.5e-05,0,3.2923e-20,0,0,1.691e-22,1.691e-22,1,133,1,0.89,0.0005,0.89,0.0005
0.99996,1.5e-05,0,3.2938e-20,0,0,1.7037e-22,1.7037e-22,1,134,1,0.89667,0.0005,0.89667,0.0005
